Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
Innovate Industries,Display,All Ages,30 days,0.01,9689.77,4.52,Los Angeles,German,1645,9266,3,Tech Enthusiasts,2021-01-15
DataTech Solutions,Social Media,Men 25-34,15 days,0.1,14113.04,6.23,Boston,Mandarin,440,12389,6,Health & Wellness,2021-01-16
Innovate Industries,Influencer,All Ages,15 days,0.05,9780.08,3.6,Los Angeles,English,414,12216,5,Tech Enthusiasts,2021-01-28
Alpha Innovations,Influencer,All Ages,60 days,0.05,7235.83,7.38,Seattle,Mandarin,174,4118,8,Foodies,2021-01-22
TechCorp,Display,Men 25-34,30 days,0.08,5136.95,3.08,Washington,German,802,8672,7,Outdoor Adventurers,2021-01-10
Alpha Innovations,Email,Women 35-44,15 days,0.1,10755.68,6.71,New York,Spanish,366,5077,7,Foodies,2021-01-08
Alpha Innovations,Email,Women 35-44,15 days,0.12,7203.32,7.93,Seattle,Mandarin,1078,9908,8,Tech Enthusiasts,2021-01-05
TechCorp,Search,Women 35-44,30 days,0.1,10676.89,4.68,Chicago,Spanish,1903,3255,7,Tech Enthusiasts,2021-01-23
NexGen Systems,Influencer,Women 35-44,60 days,0.11,11161.11,5.22,Seattle,Mandarin,1057,8616,8,Health & Wellness,2021-01-25
Alpha Innovations,Influencer,Women 25-34,15 days,0.06,18249.79,5.44,New York,Spanish,1131,16581,2,Tech Enthusiasts,2021-01-24
Innovate Industries,Social Media,Women 25-34,60 days,0.12,19523.61,7.42,Nueva Orleans,English,378,1588,2,Outdoor Adventurers,2021-01-29
Innovate Industries,Email,Men 18-24,60 days,0.07,18219.98,4.11,Boston,English,449,15947,10,Health & Wellness,2021-01-06
TechCorp,Social Media,All Ages,60 days,0.12,5975.23,7.05,Miami,English,1278,10299,3,Fashionistas,2021-01-09
Alpha Innovations,Social Media,Women 25-34,45 days,0.12,12152.4,6.48,San Francisco,French,1204,6728,6,Foodies,2021-01-04
DataTech Solutions,Social Media,All Ages,30 days,0.05,19824.62,4.1,Las Vegas,German,964,11252,2,Fashionistas,2021-01-14
TechCorp,Influencer,All Ages,45 days,0.15,12474.54,3.86,Las Vegas,Mandarin,465,6545,8,Foodies,2021-01-25
Innovate Industries,Influencer,Women 35-44,60 days,0.06,9696.46,6.54,Miami,Mandarin,1648,1725,10,Fashionistas,2021-01-03
TechCorp,Influencer,Women 25-34,30 days,0.05,5437.77,5.76,San Francisco,Spanish,1262,7821,2,Fashionistas,2021-01-13
TechCorp,Display,Women 25-34,60 days,0.1,16650.3,7.0,Chicago,Mandarin,767,5949,9,Outdoor Adventurers,2021-01-14
Innovate Industries,Social Media,Men 18-24,60 days,0.1,11381.53,2.64,Washington,German,1074,7300,5,Outdoor Adventurers,2021-01-02
DataTech Solutions,Display,Women 25-34,30 days,0.12,6749.19,7.62,Nueva Orleans,Mandarin,1177,10596,1,Tech Enthusiasts,2021-01-24
DataTech Solutions,Search,Men 18-24,45 days,0.13,17685.39,4.74,Chicago,Mandarin,979,16700,6,Fashionistas,2021-01-19
Innovate Industries,Email,Women 35-44,45 days,0.02,16393.85,4.17,Nueva Orleans,French,342,17077,8,Outdoor Adventurers,2021-01-25
TechCorp,Search,All Ages,45 days,0.09,12764.52,6.57,Nueva Orleans,Spanish,1438,5356,3,Outdoor Adventurers,2021-01-05
DataTech Solutions,Influencer,Men 18-24,15 days,0.11,8594.15,7.76,Miami,Spanish,912,14388,7,Fashionistas,2021-01-26
Alpha Innovations,Display,Women 35-44,45 days,0.13,19401.73,4.15,Chicago,Mandarin,1556,19786,10,Health & Wellness,2021-01-29
TechCorp,Social Media,Women 35-44,45 days,0.07,13807.04,5.85,Los Angeles,French,1702,7341,5,Tech Enthusiasts,2021-01-15
DataTech Solutions,Search,Women 25-34,60 days,0.07,17946.53,6.13,Boston,English,479,6460,5,Foodies,2021-01-26
Alpha Innovations,Search,Men 25-34,60 days,0.14,15446.33,6.43,Chicago,German,1562,4240,8,Health & Wellness,2021-01-23
Alpha Innovations,Social Media,Men 25-34,30 days,0.1,12758.81,2.49,Chicago,Mandarin,143,10015,9,Outdoor Adventurers,2021-01-16
DataTech Solutions,Social Media,Women 35-44,45 days,0.13,16213.49,3.04,Los Angeles,Mandarin,160,16924,5,Foodies,2021-01-19
Innovate Industries,Email,Men 18-24,45 days,0.03,12281.63,7.11,San Francisco,German,1074,3758,3,Outdoor Adventurers,2021-01-08
NexGen Systems,Social Media,Women 25-34,15 days,0.12,14177.57,4.46,San Francisco,Mandarin,859,15980,8,Fashionistas,2021-01-25
DataTech Solutions,Influencer,All Ages,60 days,0.01,9119.59,2.59,Las Vegas,Spanish,210,16813,8,Health & Wellness,2021-01-22
DataTech Solutions,Social Media,All Ages,60 days,0.14,15795.43,5.35,San Francisco,English,1997,7304,8,Fashionistas,2021-01-15
TechCorp,Display,Women 25-34,15 days,0.08,7547.36,5.32,Chicago,Mandarin,1405,5276,3,Foodies,2021-01-27
DataTech Solutions,Influencer,All Ages,45 days,0.14,9100.28,6.5,Nueva Orleans,German,300,5294,5,Fashionistas,2021-01-09
Alpha Innovations,Display,All Ages,60 days,0.07,18865.23,7.32,Las Vegas,Spanish,935,17229,4,Outdoor Adventurers,2021-01-07
Innovate Industries,Display,Women 25-34,30 days,0.07,5478.11,4.41,Nueva Orleans,Spanish,316,2103,4,Outdoor Adventurers,2021-01-30
Innovate Industries,Social Media,Men 18-24,30 days,0.11,18749.2,2.82,Los Angeles,German,1449,18601,5,Fashionistas,2021-01-23
NexGen Systems,Display,Women 35-44,60 days,0.12,8513.17,5.12,Seattle,English,1437,10210,2,Outdoor Adventurers,2021-01-14
DataTech Solutions,Influencer,Women 25-34,15 days,0.01,7903.57,5.42,Miami,English,1015,12131,10,Tech Enthusiasts,2021-01-13
Innovate Industries,Email,Women 35-44,15 days,0.13,13909.72,3.35,Seattle,French,1964,14864,7,Foodies,2021-01-12
NexGen Systems,Social Media,Men 25-34,15 days,0.06,17836.98,6.53,Washington,German,594,2296,1,Foodies,2021-01-30
Alpha Innovations,Search,Men 25-34,60 days,0.09,10702.23,2.17,Seattle,German,1668,8584,4,Fashionistas,2021-01-04
TechCorp,Email,Men 18-24,30 days,0.02,12381.33,3.11,Miami,French,956,14604,9,Fashionistas,2021-01-24
Alpha Innovations,Social Media,All Ages,60 days,0.06,11711.56,2.09,Washington,Mandarin,788,12799,2,Outdoor Adventurers,2021-01-27
Alpha Innovations,Search,Men 25-34,60 days,0.14,19906.14,2.21,San Francisco,French,996,6303,6,Outdoor Adventurers,2021-01-02
DataTech Solutions,Display,Men 25-34,15 days,0.14,16052.34,2.7,Boston,English,1765,11585,1,Outdoor Adventurers,2021-01-22
DataTech Solutions,Social Media,Men 18-24,15 days,0.09,9102.8,3.5,Miami,German,1348,18076,6,Outdoor Adventurers,2021-01-01
DataTech Solutions,Email,Women 35-44,15 days,0.04,16761.7,2.84,Seattle,German,815,14798,3,Tech Enthusiasts,2021-01-21
Alpha Innovations,Search,Men 25-34,45 days,0.08,7814.23,7.35,Los Angeles,German,794,14463,3,Tech Enthusiasts,2021-01-16
DataTech Solutions,Search,Women 25-34,15 days,0.08,6809.97,7.57,San Francisco,German,1579,11832,4,Outdoor Adventurers,2021-01-22
NexGen Systems,Influencer,Men 18-24,30 days,0.12,17461.45,6.62,Chicago,French,704,8276,9,Outdoor Adventurers,2021-01-21
NexGen Systems,Display,Men 25-34,30 days,0.12,11323.63,5.42,Nueva Orleans,German,1024,19032,10,Foodies,2021-01-26
Innovate Industries,Social Media,Women 35-44,60 days,0.08,13702.1,3.05,Los Angeles,Mandarin,274,12761,3,Fashionistas,2021-01-21
NexGen Systems,Email,Men 25-34,30 days,0.1,7115.55,5.29,Las Vegas,Spanish,114,13050,6,Foodies,2021-01-26
NexGen Systems,Influencer,All Ages,60 days,0.15,17394.55,5.22,Las Vegas,French,628,6663,10,Fashionistas,2021-01-16
TechCorp,Search,Women 25-34,45 days,0.04,5495.7,6.98,San Francisco,German,1869,14966,9,Tech Enthusiasts,2021-01-12
