Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
TechCorp,Email,Men 18-24,45 days,0.12,12321.54,5.13,San Francisco,German,313,6500,4,Fashionistas,2024-02-11
Alpha Innovations,Social Media,Women 35-44,15 days,0.14,11059.51,2.93,Chicago,Spanish,430,7019,4,Foodies,2024-02-11
NexGen Systems,Influencer,Men 25-34,30 days,0.09,18918.48,7.03,Chicago,Mandarin,532,5693,10,Foodies,2024-02-22
TechCorp,Display,All Ages,60 days,0.15,8912.05,5.69,Seattle,Mandarin,161,4103,1,Fashionistas,2024-02-20
Innovate Industries,Influencer,Women 25-34,45 days,0.07,17460.07,7.02,Chicago,English,1192,8341,9,Foodies,2024-02-13
Innovate Industries,Display,Men 18-24,45 days,0.15,14618.63,2.87,San Francisco,Spanish,483,9619,4,Foodies,2024-02-21
DataTech Solutions,Display,Women 35-44,30 days,0.06,9338.57,5.59,Nueva Orleans,English,531,19459,1,Health & Wellness,2024-02-04
Alpha Innovations,Social Media,Women 35-44,45 days,0.12,16970.69,6.05,Washington,French,532,9816,5,Health & Wellness,2024-02-04
Innovate Industries,Search,Men 25-34,30 days,0.15,14246.12,4.89,Washington,French,1844,17486,5,Foodies,2024-02-17
TechCorp,Influencer,Women 25-34,15 days,0.1,11018.93,5.38,Chicago,French,479,17619,3,Foodies,2024-02-08
DataTech Solutions,Social Media,Women 35-44,30 days,0.04,12790.54,2.96,San Francisco,German,738,7330,4,Health & Wellness,2024-02-08
DataTech Solutions,Search,Women 35-44,15 days,0.07,9278.97,2.01,Washington,French,188,15383,1,Outdoor Adventurers,2024-02-23
Alpha Innovations,Display,Men 18-24,30 days,0.01,18050.1,4.46,Miami,French,971,10947,7,Fashionistas,2024-02-04
Alpha Innovations,Email,Women 35-44,30 days,0.11,7921.61,7.09,Chicago,English,1428,7468,3,Foodies,2024-02-06
DataTech Solutions,Influencer,Women 25-34,15 days,0.14,19257.47,2.75,New York,French,176,17284,5,Fashionistas,2024-02-07
Alpha Innovations,Search,Women 35-44,60 days,0.1,17160.77,4.99,Los Angeles,French,745,19343,7,Health & Wellness,2024-02-19
DataTech Solutions,Search,All Ages,30 days,0.04,15969.53,3.49,New York,German,1170,4732,2,Tech Enthusiasts,2024-02-20
NexGen Systems,Influencer,All Ages,15 days,0.08,9455.66,3.2,San Francisco,English,1418,9032,1,Tech Enthusiasts,2024-02-16
