Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
Alpha Innovations,Display,Women 25-34,60 days,0.02,18999.52,3.06,New York,German,247,11958,9,Health & Wellness,2023-11-21
Alpha Innovations,Search,All Ages,45 days,0.15,16608.29,7.19,Los Angeles,German,997,7847,10,Tech Enthusiasts,2023-11-26
Alpha Innovations,Display,All Ages,45 days,0.09,8180.72,7.52,Nueva Orleans,German,546,5065,10,Fashionistas,2023-11-20
NexGen Systems,Search,Women 25-34,15 days,0.09,7558.41,6.71,Los Angeles,French,1261,14811,10,Health & Wellness,2023-11-17
TechCorp,Social Media,Men 25-34,45 days,0.02,9521.87,4.83,Los Angeles,Spanish,878,11912,8,Fashionistas,2023-11-09
Alpha Innovations,Search,Men 18-24,15 days,0.14,16746.19,3.78,Boston,Mandarin,338,9943,6,Foodies,2023-11-13
Innovate Industries,Display,Men 18-24,15 days,0.05,13409.88,3.79,Los Angeles,English,516,10749,9,Foodies,2023-11-01
TechCorp,Display,Women 25-34,45 days,0.11,19553.06,4.98,Chicago,English,204,15307,5,Health & Wellness,2023-11-21
Innovate Industries,Email,All Ages,45 days,0.08,18371.81,7.87,Nueva Orleans,Mandarin,276,12849,1,Fashionistas,2023-11-25
Alpha Innovations,Email,Men 25-34,15 days,0.08,7049.14,6.68,Las Vegas,French,1837,14885,4,Foodies,2023-11-06
NexGen Systems,Influencer,Women 35-44,15 days,0.03,18267.28,6.28,Washington,Spanish,1622,4901,8,Foodies,2023-11-24
Alpha Innovations,Display,All Ages,45 days,0.08,15196.78,6.54,Miami,English,412,14843,7,Tech Enthusiasts,2023-11-17
Innovate Industries,Influencer,Women 35-44,15 days,0.12,13356.59,3.92,Los Angeles,Spanish,1972,10144,7,Outdoor Adventurers,2023-11-26
TechCorp,Email,All Ages,45 days,0.09,16381.63,5.39,Miami,German,795,18593,1,Fashionistas,2023-11-18
Innovate Industries,Display,Women 25-34,45 days,0.05,11433.7,6.73,Los Angeles,Spanish,1741,13396,1,Outdoor Adventurers,2023-11-14
