Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
TechCorp,Influencer,Women 35-44,15 days,0.06,15641.19,4.63,Miami,Mandarin,1420,15351,5,Fashionistas,2022-03-30
DataTech Solutions,Search,All Ages,60 days,0.1,12157.95,7.54,Nueva Orleans,English,1619,17089,9,Foodies,2022-03-27
TechCorp,Influencer,Women 25-34,45 days,0.14,18271.68,4.09,Boston,Spanish,223,13622,10,Tech Enthusiasts,2022-03-14
DataTech Solutions,Social Media,Men 18-24,30 days,0.03,10630.4,4.51,Washington,Spanish,1850,7572,7,Outdoor Adventurers,2022-03-17
NexGen Systems,Search,Women 25-34,45 days,0.04,6310.55,2.92,Los Angeles,Mandarin,1679,11714,3,Fashionistas,2022-03-17
DataTech Solutions,Email,Men 18-24,30 days,0.03,11381.07,2.7,Miami,German,1794,11229,4,Tech Enthusiasts,2022-03-20
DataTech Solutions,Social Media,All Ages,15 days,0.09,17325.98,2.43,Nueva Orleans,German,294,10504,5,Tech Enthusiasts,2022-03-23
Alpha Innovations,Social Media,Men 18-24,30 days,0.07,11140.78,7.44,Seattle,English,179,8428,8,Fashionistas,2022-03-10
DataTech Solutions,Search,Women 35-44,15 days,0.11,17044.59,5.89,Chicago,German,1865,17784,6,Tech Enthusiasts,2022-03-12
NexGen Systems,Social Media,Women 25-34,15 days,0.14,14707.48,7.92,New York,Spanish,1686,10313,7,Outdoor Adventurers,2022-03-09
DataTech Solutions,Social Media,Women 35-44,15 days,0.15,16609.56,6.37,Miami,Spanish,1719,13715,2,Health & Wellness,2022-03-22
Innovate Industries,Social Media,All Ages,45 days,0.13,14831.76,3.16,San Francisco,Spanish,580,2522,6,Health & Wellness,2022-03-02
TechCorp,Search,Women 25-34,45 days,0.03,13377.66,2.45,Chicago,French,1533,1846,8,Health & Wellness,2022-03-28
Alpha Innovations,Social Media,All Ages,30 days,0.1,16649.15,2.42,San Francisco,Spanish,569,13750,6,Foodies,2022-03-07
TechCorp,Influencer,Men 25-34,60 days,0.13,18052.7,2.5,Nueva Orleans,Mandarin,552,10344,6,Tech Enthusiasts,2022-03-19
DataTech Solutions,Display,Men 25-34,15 days,0.01,7447.29,3.56,Seattle,Mandarin,627,1723,4,Outdoor Adventurers,2022-03-15
