Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
Innovate Industries,Display,Women 25-34,60 days,0.12,18473.28,2.17,Boston,German,1583,8410,4,Fashionistas,2024-02-06
DataTech Solutions,Display,Men 18-24,15 days,0.02,18934.07,5.06,Boston,French,901,16094,10,Tech Enthusiasts,2024-02-07
Innovate Industries,Influencer,Men 18-24,60 days,0.01,8941.71,7.98,Seattle,Spanish,1988,16237,6,Foodies,2024-02-10
NexGen Systems,Search,All Ages,60 days,0.03,9636.76,2.27,Washington,Spanish,453,11095,10,Tech Enthusiasts,2024-02-15
Alpha Innovations,Search,Women 35-44,30 days,0.05,7984.11,4.82,Boston,Mandarin,1897,15957,8,Outdoor Adventurers,2024-02-27
NexGen Systems,Email,Men 25-34,60 days,0.06,9994.31,2.84,Seattle,Mandarin,637,18766,4,Fashionistas,2024-02-25
TechCorp,Display,Women 25-34,15 days,0.14,17968.76,7.65,Washington,German,415,7487,5,Outdoor Adventurers,2024-02-25
NexGen Systems,Display,Women 25-34,60 days,0.03,10233.14,7.67,New York,German,1204,2218,5,Foodies,2024-02-01
DataTech Solutions,Search,Men 18-24,45 days,0.02,17880.74,5.19,Boston,Mandarin,1681,19541,1,Foodies,2024-02-17
TechCorp,Display,Women 25-34,45 days,0.03,9831.52,5.93,Seattle,German,1944,2396,1,Outdoor Adventurers,2024-02-14
DataTech Solutions,Influencer,All Ages,60 days,0.1,13952.39,4.1,Washington,German,1676,4172,5,Tech Enthusiasts,2024-02-02
Alpha Innovations,Social Media,All Ages,15 days,0.08,5370.23,5.09,Las Vegas,Mandarin,862,9785,5,Foodies,2024-02-03
DataTech Solutions,Social Media,Women 35-44,60 days,0.06,13493.22,5.01,Nueva Orleans,English,1129,4061,6,Foodies,2024-02-02
Innovate Industries,Email,Men 25-34,60 days,0.05,5816.89,3.01,Seattle,Mandarin,1336,12532,9,Outdoor Adventurers,2024-02-16
NexGen Systems,Email,Women 25-34,15 days,0.14,7955.69,3.46,Washington,Mandarin,124,19239,5,Fashionistas,2024-02-12
NexGen Systems,Search,Women 35-44,15 days,0.04,14184.54,6.08,Chicago,Spanish,999,4512,10,Tech Enthusiasts,2024-02-25
Alpha Innovations,Search,Men 25-34,30 days,0.11,7906.35,7.68,Washington,French,1807,11734,7,Fashionistas,2024-02-04
TechCorp,Influencer,All Ages,30 days,0.11,15080.8,6.41,Seattle,German,1005,9117,7,Tech Enthusiasts,2024-02-03
TechCorp,Search,All Ages,60 days,0.15,15162.64,2.42,Washington,Mandarin,1369,6808,9,Foodies,2024-02-03
