Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
TechCorp,Email,Men 18-24,15 days,0.03,19775.44,3.65,New York,French,1430,9805,4,Health & Wellness,2022-07-15
DataTech Solutions,Social Media,Women 25-34,30 days,0.09,10289.88,4.72,Washington,German,381,3136,7,Fashionistas,2022-07-19
DataTech Solutions,Influencer,Men 25-34,30 days,0.1,5478.81,5.42,Washington,Spanish,1126,17399,2,Outdoor Adventurers,2022-07-29
Innovate Industries,Email,Women 25-34,30 days,0.06,16533.33,5.6,Chicago,Mandarin,835,18187,2,Tech Enthusiasts,2022-07-25
TechCorp,Search,Women 35-44,15 days,0.05,11079.31,2.56,Boston,French,1774,14206,2,Outdoor Adventurers,2022-07-27
Alpha Innovations,Email,All Ages,15 days,0.11,17098.65,4.6,San Francisco,German,1893,6197,5,Outdoor Adventurers,2022-07-02
Alpha Innovations,Influencer,Men 25-34,15 days,0.09,13036.4,2.41,Chicago,Mandarin,645,11916,7,Fashionistas,2022-07-23
NexGen Systems,Email,All Ages,15 days,0.1,5233.43,4.49,Washington,Spanish,454,9888,7,Foodies,2022-07-14
Innovate Industries,Email,All Ages,45 days,0.04,16669.88,6.91,New York,German,948,11984,3,Tech Enthusiasts,2022-07-01
Alpha Innovations,Influencer,All Ages,45 days,0.05,17325.97,6.64,Nueva Orleans,Mandarin,1179,1949,9,Fashionistas,2022-07-24
NexGen Systems,Influencer,All Ages,30 days,0.07,18602.13,4.16,Boston,Spanish,980,1028,2,Fashionistas,2022-07-11
Innovate Industries,Email,Women 35-44,60 days,0.1,14361.22,4.67,Washington,French,1495,4204,7,Fashionistas,2022-07-08
DataTech Solutions,Search,Women 35-44,30 days,0.15,15504.95,7.22,Las Vegas,Mandarin,1388,19442,1,Fashionistas,2022-07-26
Innovate Industries,Email,Women 25-34,60 days,0.12,9411.2,6.33,Boston,French,285,6858,9,Health & Wellness,2022-07-27
Innovate Industries,Influencer,All Ages,60 days,0.07,8719.78,2.69,Washington,German,655,16157,2,Outdoor Adventurers,2022-07-13
DataTech Solutions,Search,Women 25-34,30 days,0.11,9061.15,6.16,Seattle,Spanish,828,8724,9,Tech Enthusiasts,2022-07-14
Alpha Innovations,Search,Men 25-34,60 days,0.04,7439.22,6.13,Boston,English,100,3542,5,Tech Enthusiasts,2022-07-03
NexGen Systems,Display,Men 18-24,15 days,0.01,6096.3,4.09,Nueva Orleans,Mandarin,104,1490,10,Fashionistas,2022-07-11
DataTech Solutions,Email,Women 25-34,30 days,0.06,17175.41,6.68,New York,English,1000,2629,10,Fashionistas,2022-07-15
TechCorp,Display,Women 25-34,30 days,0.1,8741.37,6.31,Los Angeles,English,214,19700,6,Tech Enthusiasts,2022-07-27
NexGen Systems,Search,Women 35-44,60 days,0.04,18374.49,2.81,San Francisco,German,1730,15823,7,Outdoor Adventurers,2022-07-09
Innovate Industries,Display,All Ages,30 days,0.03,9144.07,2.98,Las Vegas,English,1611,1354,6,Tech Enthusiasts,2022-07-11
NexGen Systems,Display,Women 25-34,30 days,0.15,7711.54,5.0,Chicago,English,851,5618,8,Tech Enthusiasts,2022-07-01
NexGen Systems,Display,Women 35-44,60 days,0.08,6800.12,6.18,New York,Mandarin,841,3079,3,Health & Wellness,2022-07-03
DataTech Solutions,Email,Men 25-34,30 days,0.06,11444.6,6.15,New York,Spanish,1233,16242,6,Outdoor Adventurers,2022-07-24
TechCorp,Display,Men 25-34,60 days,0.05,9457.79,4.18,San Francisco,English,1904,5893,6,Health & Wellness,2022-07-13
NexGen Systems,Influencer,Women 25-34,45 days,0.1,12009.19,6.83,San Francisco,Mandarin,1195,16133,3,Health & Wellness,2022-07-18
NexGen Systems,Social Media,Men 18-24,15 days,0.11,9380.27,5.25,Miami,English,1605,16390,1,Health & Wellness,2022-07-01
NexGen Systems,Display,Men 18-24,60 days,0.1,7637.42,4.21,Seattle,Mandarin,164,6195,8,Foodies,2022-07-16
Alpha Innovations,Influencer,Women 25-34,45 days,0.11,12586.21,7.01,Seattle,Spanish,227,14616,8,Tech Enthusiasts,2022-07-01
NexGen Systems,Email,Women 35-44,45 days,0.12,11233.31,2.22,Boston,Spanish,1417,12862,2,Tech Enthusiasts,2022-07-09
DataTech Solutions,Influencer,Men 25-34,60 days,0.05,9960.11,4.48,Chicago,French,1095,6096,7,Fashionistas,2022-07-14
TechCorp,Email,Women 35-44,45 days,0.07,13599.77,6.83,Los Angeles,Spanish,684,1021,5,Fashionistas,2022-07-20
Alpha Innovations,Email,Women 35-44,60 days,0.07,8955.0,6.2,Miami,Spanish,1758,5662,3,Tech Enthusiasts,2022-07-22
Innovate Industries,Search,Women 25-34,15 days,0.06,6418.2,5.89,Los Angeles,Spanish,1144,9621,1,Health & Wellness,2022-07-29
NexGen Systems,Influencer,Women 35-44,60 days,0.09,14636.65,4.16,Boston,Mandarin,1902,17063,3,Tech Enthusiasts,2022-07-08
NexGen Systems,Social Media,Women 25-34,45 days,0.02,7538.14,6.12,Washington,Spanish,1209,16290,8,Outdoor Adventurers,2022-07-11
Innovate Industries,Search,All Ages,60 days,0.01,11221.52,2.55,San Francisco,English,834,2989,8,Tech Enthusiasts,2022-07-06
DataTech Solutions,Email,Women 35-44,60 days,0.08,19833.07,2.69,San Francisco,Spanish,533,5573,2,Outdoor Adventurers,2022-07-22
TechCorp,Search,Women 35-44,45 days,0.12,12032.65,6.8,Los Angeles,Spanish,481,2277,2,Fashionistas,2022-07-19
TechCorp,Email,Women 25-34,60 days,0.09,11682.74,7.81,San Francisco,German,1254,13780,3,Health & Wellness,2022-07-11
NexGen Systems,Search,Men 25-34,15 days,0.08,14464.33,6.51,Chicago,English,609,16426,10,Health & Wellness,2022-07-15
TechCorp,Search,All Ages,45 days,0.06,10020.15,4.05,Seattle,French,1913,8824,9,Outdoor Adventurers,2022-07-02
NexGen Systems,Influencer,Men 25-34,45 days,0.09,12847.99,6.16,Boston,Mandarin,110,2599,9,Tech Enthusiasts,2022-07-21
DataTech Solutions,Search,Men 25-34,45 days,0.15,9739.49,5.23,Miami,German,729,2315,10,Foodies,2022-07-21
Innovate Industries,Search,Women 35-44,15 days,0.12,7013.59,5.06,Nueva Orleans,English,1246,16636,4,Fashionistas,2022-07-28
Innovate Industries,Email,Men 25-34,45 days,0.12,8720.41,5.09,New York,German,1556,8586,1,Tech Enthusiasts,2022-07-27
DataTech Solutions,Social Media,Men 25-34,15 days,0.14,19551.54,5.88,Los Angeles,French,965,7596,10,Fashionistas,2022-07-01
Alpha Innovations,Influencer,Women 25-34,15 days,0.01,18074.03,5.54,Washington,French,682,14597,7,Fashionistas,2022-07-16
Innovate Industries,Search,Women 35-44,45 days,0.07,8514.94,7.53,New York,German,881,3235,10,Outdoor Adventurers,2022-07-17
Alpha Innovations,Email,Men 25-34,30 days,0.06,8500.16,5.72,Miami,Mandarin,1616,8825,7,Tech Enthusiasts,2022-07-12
Innovate Industries,Social Media,All Ages,15 days,0.13,6532.55,4.67,Miami,Mandarin,218,1781,2,Health & Wellness,2022-07-20
NexGen Systems,Display,All Ages,45 days,0.09,16608.05,3.92,New York,English,656,7037,7,Outdoor Adventurers,2022-07-10
NexGen Systems,Email,All Ages,45 days,0.05,6245.22,3.84,Boston,German,391,7261,9,Foodies,2022-07-12
Alpha Innovations,Search,Women 25-34,60 days,0.11,11567.8,7.01,San Francisco,Mandarin,1813,16871,9,Health & Wellness,2022-07-01
TechCorp,Display,Men 18-24,15 days,0.05,19264.48,5.54,Boston,French,431,9867,4,Health & Wellness,2022-07-22
Innovate Industries,Search,All Ages,60 days,0.07,6796.27,4.79,New York,German,505,7386,9,Health & Wellness,2022-07-08
NexGen Systems,Social Media,Women 35-44,15 days,0.08,6086.19,5.59,Washington,Mandarin,1140,3126,2,Tech Enthusiasts,2022-07-22
TechCorp,Social Media,Women 25-34,45 days,0.05,14303.13,6.25,Nueva Orleans,German,314,11079,3,Fashionistas,2022-07-29
Innovate Industries,Search,Men 18-24,15 days,0.03,11130.66,3.46,Seattle,Mandarin,1133,17458,4,Outdoor Adventurers,2022-07-27
Alpha Innovations,Social Media,All Ages,60 days,0.09,5144.12,6.5,Chicago,German,746,16988,5,Foodies,2022-07-07
Alpha Innovations,Display,All Ages,60 days,0.13,18405.27,2.52,Boston,Mandarin,923,17185,9,Foodies,2022-07-09
TechCorp,Email,All Ages,60 days,0.14,11758.52,3.94,Miami,Mandarin,1836,15988,8,Fashionistas,2022-07-23
DataTech Solutions,Social Media,Women 35-44,30 days,0.03,17489.19,2.17,New York,Spanish,595,16315,1,Fashionistas,2022-07-01
TechCorp,Search,All Ages,60 days,0.11,15976.1,2.82,Boston,Spanish,1396,5225,10,Tech Enthusiasts,2022-07-09
NexGen Systems,Display,Women 35-44,45 days,0.14,15915.47,5.52,Las Vegas,German,393,14588,9,Fashionistas,2022-07-14
TechCorp,Influencer,All Ages,45 days,0.13,8867.34,7.58,Nueva Orleans,English,494,13645,7,Foodies,2022-07-20
Alpha Innovations,Social Media,Men 18-24,60 days,0.05,17892.21,3.91,Las Vegas,German,112,9013,4,Fashionistas,2022-07-14
NexGen Systems,Influencer,Women 25-34,45 days,0.13,14514.8,5.76,New York,English,1560,17115,10,Outdoor Adventurers,2022-07-28
DataTech Solutions,Search,Women 25-34,45 days,0.03,12476.55,2.33,Las Vegas,English,180,11599,6,Fashionistas,2022-07-14
TechCorp,Display,Men 18-24,60 days,0.08,5169.53,4.83,Chicago,Spanish,1472,9047,1,Health & Wellness,2022-07-29
TechCorp,Display,Women 35-44,30 days,0.07,12846.49,7.09,Los Angeles,Mandarin,1213,13037,9,Foodies,2022-07-24
Innovate Industries,Email,Men 25-34,30 days,0.11,11280.63,5.93,Seattle,French,1424,16886,2,Foodies,2022-07-25
Innovate Industries,Email,Men 18-24,30 days,0.09,18488.62,6.83,New York,Spanish,1138,8548,10,Foodies,2022-07-14
Alpha Innovations,Influencer,Women 35-44,60 days,0.09,10035.96,6.07,Seattle,English,994,16752,9,Foodies,2022-07-26
NexGen Systems,Influencer,All Ages,45 days,0.11,17522.61,3.47,Los Angeles,Mandarin,245,13758,2,Health & Wellness,2022-07-10
Innovate Industries,Email,All Ages,15 days,0.11,11431.84,4.47,Chicago,Spanish,1402,3917,6,Foodies,2022-07-07
DataTech Solutions,Social Media,Women 25-34,15 days,0.08,15157.31,2.98,Las Vegas,Spanish,409,14480,3,Outdoor Adventurers,2022-07-26
NexGen Systems,Email,Men 18-24,15 days,0.06,10089.34,4.02,San Francisco,English,933,15515,6,Fashionistas,2022-07-15
DataTech Solutions,Search,Women 35-44,45 days,0.1,10723.2,4.12,Washington,French,1340,12440,9,Health & Wellness,2022-07-14
Innovate Industries,Social Media,Men 18-24,45 days,0.12,15338.64,5.48,San Francisco,Spanish,1856,11002,3,Outdoor Adventurers,2022-07-27
Alpha Innovations,Influencer,All Ages,45 days,0.02,19227.52,7.54,Las Vegas,French,1002,16361,9,Tech Enthusiasts,2022-07-30
Alpha Innovations,Influencer,Men 25-34,15 days,0.06,8099.05,7.67,San Francisco,English,1356,18881,4,Tech Enthusiasts,2022-07-05
Alpha Innovations,Display,All Ages,45 days,0.07,11616.75,3.03,Nueva Orleans,Mandarin,1489,10490,6,Outdoor Adventurers,2022-07-12
DataTech Solutions,Display,Women 35-44,60 days,0.08,18468.52,7.43,Los Angeles,German,267,14895,10,Tech Enthusiasts,2022-07-16
TechCorp,Influencer,Men 18-24,60 days,0.08,8311.87,4.33,Seattle,French,1040,11820,10,Fashionistas,2022-07-14
Innovate Industries,Email,Women 25-34,15 days,0.03,16119.66,4.69,Miami,English,1754,17421,8,Foodies,2022-07-12
DataTech Solutions,Influencer,Women 25-34,45 days,0.05,17540.52,4.7,Los Angeles,German,1164,9153,10,Foodies,2022-07-05
TechCorp,Social Media,Women 25-34,60 days,0.07,14283.32,5.62,New York,Spanish,948,16671,6,Tech Enthusiasts,2022-07-11
NexGen Systems,Influencer,Men 18-24,60 days,0.07,13444.76,6.39,Nueva Orleans,English,1088,7680,10,Fashionistas,2022-07-18
TechCorp,Display,All Ages,15 days,0.11,12120.92,7.78,Washington,French,1531,16264,3,Outdoor Adventurers,2022-07-16
Innovate Industries,Influencer,Women 25-34,30 days,0.01,5099.59,6.4,Las Vegas,Spanish,613,11581,2,Fashionistas,2022-07-18
NexGen Systems,Display,All Ages,60 days,0.02,9944.39,2.77,Las Vegas,German,592,6619,8,Health & Wellness,2022-07-15
DataTech Solutions,Email,Men 18-24,30 days,0.14,8030.82,3.3,Boston,French,625,17704,3,Health & Wellness,2022-07-10
NexGen Systems,Social Media,All Ages,45 days,0.03,15553.95,2.45,San Francisco,German,1902,4810,1,Foodies,2022-07-19
Alpha Innovations,Email,All Ages,60 days,0.09,11007.02,4.21,Seattle,French,338,11454,8,Tech Enthusiasts,2022-07-08
NexGen Systems,Display,Women 25-34,15 days,0.12,11893.99,2.89,Las Vegas,German,867,15552,7,Outdoor Adventurers,2022-07-06
TechCorp,Influencer,Men 25-34,45 days,0.11,8709.69,6.83,Boston,German,262,4626,7,Health & Wellness,2022-07-05
Alpha Innovations,Influencer,All Ages,15 days,0.06,15893.8,3.8,San Francisco,German,408,12502,6,Outdoor Adventurers,2022-07-18
Alpha Innovations,Social Media,Men 25-34,45 days,0.03,10252.78,2.38,Nueva Orleans,Mandarin,1612,13195,8,Tech Enthusiasts,2022-07-24
Innovate Industries,Social Media,Men 18-24,60 days,0.14,11697.76,5.42,Miami,English,1093,10276,9,Tech Enthusiasts,2022-07-28
TechCorp,Social Media,Men 25-34,45 days,0.03,16346.93,6.39,Las Vegas,English,328,11240,3,Foodies,2022-07-14
DataTech Solutions,Email,Women 35-44,60 days,0.09,10030.59,6.24,Las Vegas,Spanish,1746,18018,2,Health & Wellness,2022-07-06
TechCorp,Display,All Ages,15 days,0.08,9599.32,4.75,Boston,English,1334,14873,1,Tech Enthusiasts,2022-07-22
Alpha Innovations,Email,All Ages,45 days,0.12,15875.34,5.07,Chicago,Spanish,1270,12024,7,Tech Enthusiasts,2022-07-24
